file,raw_date,date,doc_type,context
Epstein%20Part%2017%20(Redacted).txt,01-20-1953,1953-01-20,legislation,01-20-1953 Unlawful Sexual Activity with a Minor (4) counts
Epstein%20Records%203.txt,01/20/1953,1953-01-20,legislation,01/20/1953 
Epstein%20Part%2017%20(Redacted).txt,"March 11, 1981",1981-03-11,legislation,"placed on March 11, 1981. by the Seagram"
Epstein%20Part%2017%20(Redacted).txt,"April 1, 1981",1981-04-01,legislation,"mony, given on April 1, 1981, Epstein claimed"
Epstein%20Part%2017%20(Redacted).txt,04/09/1986,1986-04-09,legislation,"During a sworn taped intervie d that Haley Robson, deb 04/09/1986, a cousin"
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"January 1, 1990",1990-01-01,subpoena,"or his agent(s) with any individual or entity between January 1, 1990 and August 10,"
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"January 1, 1990",1990-01-01,subpoena,"phone call logs or missed visitor logs from January 1, 1990 through August 19, 2019."
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"January 1, 1990",1990-01-01,subpoena,"a “Black Book,” from January 1, 1990 through August 10, 2019."
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"January 1, 1990",1990-01-01,subpoena,"rented, leased, operated, or used by Mr. Jeffrey Epstein from January 1, 1990 through"
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"January 1, 1990",1990-01-01,subpoena,"opened by or associated with Mr. Jeffrey Epstein from January 1, 1990 through August"
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"January 1, 1990",1990-01-01,subpoena,"payments, digital payments, or cryptocurrency, from January 1, 1990 through August 10,"
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"January 1, 1990",1990-01-01,subpoena,"from January 1, 1990 through August 10, 2019."
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"January 1, 1990",1990-01-01,subpoena,"from January 1, 1990 through August 10, 2019, including but not limited to:"
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"January 1, 1990",1990-01-01,subpoena,"owned, rented, operated, or used by Mr. Jeffrey Epstein from January 1, 1990 through"
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"January 1, 1990",1990-01-01,subpoena,"Request 10(a) from January 1, 1990 through August 10, 2019."
11.18.2025-Letter-to-the-AG-USVI.txt,"January 1, 1998",1998-01-01,legislation,"January 1, 1998, to the present unless otherwise indicated, as soon as possible but no later than December  2, 2025:"
Epstein%20Part%2017%20(Redacted).txt,01/11/2000,2000-01-11,legislation,01/11/2000 21:25 5615404420
Epstein%20Part%2017%20(Redacted).txt,"Dec 1, 2000",2000-12-01,legislation,"Neal Travis. New York Post. New York, N.Y Dec 1, 2000. pg. 009"
Epstein%20Part%2017%20(Redacted).txt,"Dec 1, 2000",2000-12-01,legislation,"Copyright New York Post Corporation Dec 1, 2000"
04-376_JurisIni.txt,"July 15, 2001",2001-07-15,legislation,"26, 1985 and lived together until July 15, 2001.  No children were born as a result"
Epstein%20Part%2017%20(Redacted).txt,"Oct 20, 2002",2002-10-20,legislation,"New York Post. New York, N.Y.: Oct 20, 2002. pg. 010"
Epstein%20Part%2017%20(Redacted).txt,"Oct 20, 2002",2002-10-20,legislation,"New York Post. New York, N.Y.: Oct 20, 2002. pg. 010"
Epstein%20Part%2017%20(Redacted).txt,October 28 2002,2002-10-28,legislation,► Also In This Issue: New York Magazine - October 28 2002
04-376_JurisIni.txt,"November 27, 2002",2002-11-27,legislation,"Final Judgment on November 27, 2002,  which found the Husband’s income was"
Epstein%20Part%2017%20(Redacted).txt,"January 26, 2003",2003-01-26,legislation,"January 26, 2003 ""U.S. corporatior"
Epstein%20Part%2017%20(Redacted).txt,"January 26, 2003",2003-01-26,legislation,"January 26, 2003 Read Articles by"
Epstein%20Part%2017%20(Redacted).txt,"Feb 4, 2003",2003-02-04,legislation,"PAUL THARP . New York Post. New York, N.Y.: Feb 4, 2003. pg. 036"
Epstein%20Part%2017%20(Redacted).txt,"Feb 4, 2003",2003-02-04,legislation,"PAUL THARP. New York Post. New York, N.Y.: Feb 4, 2003. pg. 036"
Epstein%20Part%2017%20(Redacted).txt,"March 4, 2003",2003-03-04,legislation,"March 4, 2003 ""Impeach Bush"""
Epstein%20Part%2017%20(Redacted).txt,"March 7, 2003",2003-03-07,legislation,"March 7, 2003 http://www.freepress.org/columns/display/3/2003/725 	 12/7/2005"
Epstein%20Part%2017%20(Redacted).txt,"March 15, 2003",2003-03-15,legislation,"March 15, 2003 ""Why Moss bang"
Epstein%20Part%2017%20(Redacted).txt,"March 24, 2003",2003-03-24,legislation,"March 24, 2003 ""Sick Caesar: Rei"
Epstein%20Part%2017%20(Redacted).txt,"April 2, 2003",2003-04-02,legislation,"April 2, 2003 ""Is the new COI!"
