Timestamp,Query,Title,Link,Snippet,Source
2025-12-22 21:27:42.389020,DOJ withholding $88 million trafficking survivor funds December 2025,DOJ Funding Update: A Deeper Look at the Cuts,https://counciloncj.org/doj-funding-update-a-deeper-look-at-the-cuts/,Other terminated grants include direct funding for victims' services for survivors of human trafficking ... The funding cuts include $88 million ...,Council on Criminal Justice
2025-12-22 21:27:42.389029,DOJ withholding $88 million trafficking survivor funds December 2025,FNUSA's Statement on DOJ Cutting Off Funding for ...,https://freedomnetworkusa.org/2025/10/01/fnusas-statement-on-doj-cutting-off-funding-for-services-for-5000-survivors/,"Today, on October 1, 2025, the US Department of Justice allowed over 100 trafficking victim services grants to expire without new grants in ...",Freedom Network USA
2025-12-22 21:27:42.389031,DOJ withholding $88 million trafficking survivor funds December 2025,Anti-Trafficking Services at risk without federal funds,https://www.preblestreet.org/2025/09/29/anti-trafficking-services-at-risk-without-federal-funds/,Tell the Department of Justice that survivors can't wait! The Department of Justice has $88 million allocated for anti-trafficking services.,Preble Street
2025-12-22 21:27:42.389033,DOJ withholding $88 million trafficking survivor funds December 2025,Trump administration will 'enable human trafficking' by ...,https://www.theguardian.com/us-news/2025/oct/03/trump-administration-human-trafficking,The groups are asking Congress to push the administration to restore the funding to protect thousands of trafficking survivors across the US.,The Guardian
2025-12-22 21:27:42.389034,DOJ withholding $88 million trafficking survivor funds December 2025,Tell the US Department of Justice: Survivors can't wait,https://www.freedomunited.org/advocate/release-the-funds/,Over 3000 survivors of human trafficking are about to lose life-saving services—unless the Department of Justice acts now.,FreedomUnited.org
2025-12-22 21:27:42.389035,DOJ withholding $88 million trafficking survivor funds December 2025,DOJ Announces Compensation for Trafficking Victims,https://www.monroeville.pa.us/CivicAlerts.aspx?AID=135,"Home. Posted on: October 21, 2025. DOJ Announces Compensation for Trafficking Victims. DOJ Victim Fund. The Monroeville Police Department is sharing ...",Monroeville.pa.us
2025-12-22 21:27:42.389036,DOJ withholding $88 million trafficking survivor funds December 2025,House Passes by Voice Vote the Trafficking Survivors ...,https://alliancetoendhumantrafficking.org/a-bipartisan-win-for-human-trafficking-survivors-house-passes-by-voice-vote-the-trafficking-survivors-relief-act/,Let's give survivors of human trafficking some relief as we close out 2025 and prepare to welcome in 2026.” About AEHT and NAC: AEHT and NAC are ...,Alliance to End Human Trafficking
2025-12-22 21:27:42.389037,DOJ withholding $88 million trafficking survivor funds December 2025,Justice Department Slashes Essential Services for Crime ...,https://www.brennancenter.org/our-work/research-reports/justice-department-slashes-essential-services-crime-victims,"In 2024, the Crime Victims Fund and matching state dollars provided assistance to more than 7 million people. ... trafficking. A third grant was ...",Brennan Center for Justice
2025-12-22 21:27:42.389038,DOJ withholding $88 million trafficking survivor funds December 2025,Justice Department grant cancellations threaten special ...,https://www.npr.org/2025/07/04/nx-s1-5449135/justice-department-grant-cancellations-threaten-special-programs-across-the-u-s,"... victims of trafficking and sexual assault. Here's President Trump at ... Kennedy Department of Justice Building on Dec. 19, 2025 in · Law.",NPR
2025-12-22 21:27:42.389039,DOJ withholding $88 million trafficking survivor funds December 2025,"H.R. 1144, Frederick Douglass Trafficking Victims ...",https://www.cbo.gov/publication/61603,On This Page · $77 million each year for DOJ grants to assist victims of trafficking and perform other activities to investigate and prevent ...,Congressional Budget Office (.gov)
2025-12-22 21:27:44.582127,Robert Maxwell Mirror Group pension fraud 1991 timeline assets,Tales of pension fund abuse | Features,https://www.ipe.com/tales-of-pension-fund-abuse/14159.article,"By the end of October 1991, the private company held no substantial assets other then shares in MGN, MCC and in property. At this time pressure became severe ...",Investment & Pensions Europe
2025-12-22 21:27:44.582137,Robert Maxwell Mirror Group pension fraud 1991 timeline assets,Mirror Group Newspapers plc,https://image.guardian.co.uk/Media/pdf/mirrorgroup.pdf,At the time private side owed pension funds £100m and was using £270m of their assets as collateral; private side bank borrowings remained at about £1 billion.,The Guardian
2025-12-22 21:27:44.582140,Robert Maxwell Mirror Group pension fraud 1991 timeline assets,Robert Maxwell's Expectations Gap,https://globalcapitalism.history.ox.ac.uk/files/case29-robertmaxwellsexpectationsgappdf,Maxwell had stolen around £460 million from his employees' pension funds and committed extensive stock fraud in order to manipulate the share prices of his ...,The Global History of Capitalism
2025-12-22 21:27:44.582141,Robert Maxwell Mirror Group pension fraud 1991 timeline assets,Great frauds in history: Robert Maxwell,https://moneyweek.com/505757/great-frauds-in-history-robert-maxwell,"Robert Maxwell looted millions from the pension fund of the Mirror Group, wiping out shareholders and condemning pensioners to poverty.",MoneyWeek
2025-12-22 21:27:44.582143,Robert Maxwell Mirror Group pension fraud 1991 timeline assets,Protecting DB schemes & their members,https://vidett.com/cherilyn-lamonby-protecting-db/,"I started working in pensions several years after the Robert Maxwell scandal in 1991, where he stole £460m from the Mirror Group pension funds.",Vidett
2025-12-22 21:27:44.582145,Robert Maxwell Mirror Group pension fraud 1991 timeline assets,Maxwell Empire Shaken by Pension Fund Probe,https://www.latimes.com/archives/la-xpm-1991-12-05-fi-1025-story.html,... Fraud Squad began investigating reports that the late Robert Maxwell had plundered his papers' pension funds.,Los Angeles Times
2025-12-22 21:27:44.582146,Robert Maxwell Mirror Group pension fraud 1991 timeline assets,Maxwell Pensioners - Hansard - UK Parliament,https://hansard.parliament.uk/Commons/1992-06-09/debates/514f964d-fbb2-4254-a0d1-446e35e99b8c/MaxwellPensioners,The Secretary of State said earlier that he was treating pensioners as part of the Mirror group pension fund. The Mirror group has thrown ...,UK Parliament
2025-12-22 21:27:44.582148,Robert Maxwell Mirror Group pension fraud 1991 timeline assets,Maxwell scandal reignites | Business,https://www.theguardian.com/business/2001/feb/12/media1,"... Maxwell controlled his business empire, looting money from the Mirror Group Newspaper's pension fund soon after taking over the paper in 1984.",The Guardian
2025-12-22 21:27:44.582150,Robert Maxwell Mirror Group pension fraud 1991 timeline assets,Scandal Maxwell's Plummet,https://time.com/archive/6719187/scandal-maxwells-plummet/,"Then came the discovery that Maxwell had pledged the same assets as collateral for various loans. The most explosive bombshell came last week, ...",Time Magazine
2025-12-22 21:27:44.582152,Robert Maxwell Mirror Group pension fraud 1991 timeline assets,Cases in Corporate Governance - Maxwell - Sage Knowledge,https://sk.sagepub.com/book/mono/cases-in-corporate-governance/chpt/maxwell,Maxwell was also able to raid the assets of the pension fund by pledging their shares as collateral against loans he was raising with the banks. Although ...,Sage Publishing
2025-12-22 21:27:45.831651,Jeffrey Epstein Ghislaine Maxwell financial links 1991-2003,Mystery of Ghislaine Maxwell's Wealth Hangs Over Case,https://time.com/5868402/ghislaine-maxwell-net-worth-mystery-epstein-trial/,"But how much money she has herself is a mystery. Maxwell, who has pleaded not guilty to charges she recruited girls for sexual abuse by Jeffrey ...",Time Magazine
2025-12-22 21:27:45.831658,Jeffrey Epstein Ghislaine Maxwell financial links 1991-2003,Jeffrey Epstein gave Ghislaine Maxwell at least $30.7 ...,https://www.yahoo.com/news/jeffrey-epstein-gave-ghislaine-maxwell-204630749.html,Bank records that show transfers between 1999 and 2007 were presented during Ghislaine Maxwell's child-sex-trafficking trial on Monday.,Yahoo
