date,year,company,event,category,snippet,source_url
2015-01-01,2015,Abivax,Pavel Prochazka – Clinical Science Liaison,Clinical_Milestone,... obefazimod led to a compelling pooled 16.4% (p<0.0001) placebo ... Academy of Sciences of the Czech Republic. říjen 2012 – leden 2015 2 roky 4 měsíce.,https://cz.linkedin.com/in/pavel-prochazka-9750b52b
2015-06-08,2015,Abivax,Alger American Asset Growth Fund,Financial_Performance,"Abivax SA Sponsored ADR, 0.51%, 0.00%, 0.51%. Cameco Corporation, 0.51%, 0.00%, 0.51%. Cidara Therapeutics, Inc. 0.50%, 0.00%, 0.50%. Martin Marietta Materials, ...",https://www.alger.com/Pages/Products.aspx?productCode=KQ1AA_E
2015-07-17,2015,Abivax,Kewill Appoints Paul Ilse to Board of Directors,Corporate_Action,Ilse joined Francisco Partners in 2015 with a focus on software and services. Ilse brings nearly 20 years of executive leadership experience to the Kewill ...,https://finance.yahoo.com/news/kewill-appoints-paul-ilse-board-130000806.html
2015-11-05,2015,Abivax,Genmab,General_Update,"Born from a serendipitous scientific discovery in Montpellier, Abivax has evolved into one of France's most promising global biotechs. ... Investment is flowing ...",https://pharmaboardroom.com/directory/genmab/
2015-11-15,2015,Abivax,Abivax (ENXTPA: ABVX): Investor Relations Program,Clinical_Milestone,"Abivax is a phase 3 ready clinical-stage biotechnology company harnessing the immune system to develop novel treatments for inflammatory diseases, ...",https://www.lifesciadvisors.com/case-study/abivax-enxtpaabvx-investor-relations-program/
2016-03-16,2016,Abivax,European Life Science CEO Forum & Exhibition,General_Update,"Akaal Pharma has created a pipeline of novel small molecule drugs for the treatment of Psoriasis, Atopic Dermatitis, Multiple Sclerosis (MS), Ulcerative Colitis ...",https://www.sachsforum.com/uploads/5/1/9/6/51964431/elsceo_conference_guide.pdf
2016-05-17,2016,Abivax,A Look At All Of Pfizer's Acquisitions Over The Past 2 Years,Corporate_Action,"Pfizer Inc. (NYSE: PFE) is back on the M&A hunt, having agreed to acquire Anacor Pharmaceuticals Inc (NYSE: ANAC) for $5.2 billion.",https://finance.yahoo.com/news/look-pfizers-acquisitions-over-past-152244227.html
2016-05-28,2016,Abivax,WORLD CHINESE JOURNAL OF DIGESTOLOGY Shijie ...,Clinical_Milestone,"junction cancer (ToGA): a phase 3, open-label, randomised controlled trial ... 2016; 3: 14 [PMID: 27002817 DOI: 10.1186/s40348-. 016-0041-y]. 26 Bik EM ...",https://bsdwebstorage.blob.core.windows.net/ejournals-1009-3079/WCJDv24i15.pdf
2016-08-16,2016,Abivax,HEGCF – MyOptique Acquired by Essilor,Clinical_Milestone,"... Ulcerative Colitis. View Abivax Announces Positive Phase 3 Results from Both ABTECT 8-Week Induction Trials Investigating Obefazimod, its First-in-Class Oral ...",https://www.claret-capital.com/articles/hegcf-myoptique-acquired-by-essilor/
2016-09-15,2016,Abivax,"New Jersey Orthodontist Pat Cuozzo, DDS Achieves 10th ...",General_Update,"Nearly 7,000 dentists were surveyed for this year's Top Dentists list and more than 600 nominees were chosen for inclusion. Dr. Cuozzo says part of his ...",https://finance.yahoo.com/news/jersey-orthodontist-pat-cuozzo-dds-110100538.html
2016-10-14,2016,Abivax,Alger Capital Appreciation Institutional Fund - ACIZX,General_Update,"Holdings ; Abivax SA Sponsored ADR, 0.53%, 0.00% ; HEICO Corporation Class A, 0.52%, 0.06% ; Constellation Energy Corporation, 0.49%, 0.00% ; Eli Lilly and Company ...",https://www.alger.com/pages/Products.aspx?productCode=2146
2016-12-06,2016,Abivax,The Best and Worst Run States in America: A Survey of All 50,General_Update,"This year, for the fifth year in a row, North Dakota ranks as the best run state in the country. For the second consecutive year, New Mexico ranks worst.",https://finance.yahoo.com/news/best-worst-run-states-america-110022696.html
