date,event,category,snippet,source_url
2025-12-22,The Fall of Maduro: I take You Through The Timeline ...,Political_Event,"U.S. President Donald Trump on Monday, December 22, 2025, intensified pressure on Venezuelan President Nicolás Maduro, saying it would be “smart” for him to ...",https://www.instagram.com/reel/DTDbZVsk6-2/
2025-12-22,Epstein files: Where do things stand with their release?,Political_Event,Controversy surrounds the release of heavily redacted files linked to Jeffrey Epstein as the DOJ faces criticism for its handling of the situation.,https://thehill.com/homenews/administration/5659867-epstein-files-release-controversy/
2025-12-22,Epstein's alleged victims accuse DOJ of legal violations over ...,Media_Reaction,"A group of alleged victims of Jeffrey Epstein accused the Department of Justice of missteps, including violations of the law, in its partial release of ...",https://abcnews.go.com/US/epsteins-alleged-victims-accuse-doj-legal-violations-state/story?id=128612219
2025-12-22,2025 AFL-CIO Year-End Report,Holiday,"On the first day that Elon Musk's unaccountable DOGE entered the Department of Labor, the AFL-CIO launched the Department of People Who Work for a Living (DPWL) ...",https://aflcio.org/2025
2025-12-22,"Today in History: Dec. 22, 2025",Media_Reaction,"In 1944, during the World War II Battle of the Bulge, U.S. Brig. Gen. Anthony C. McAuliffe rejected a German demand for surrender, writing “Nuts!” as his ...",https://www.baltimoresun.com/2025/12/22/today-in-history-dec-22-2025/
2025-12-22,DOJ expected to release more Epstein files Monday after ...,Media_Reaction,"DOJ expected to release more Epstein files Monday after lawmakers demand full transparency. by ELAINE MALLON | The National News Desk. Mon, December 22, 2025 at ...",https://okcfox.com/news/nation-world/rep-ro-khanna-demands-doj-to-unveil-new-epstein-files-seeks-fbi-witness-interviews-thomas-massie-jeffrey-epstein
2025-12-22,Christmas Greetings of the Holy Father to the Roman Curia ...,Holiday,"The light of Christmas comes to meet us, inviting us to rediscover the newness that, from the humble grotto of Bethlehem, runs throughout human history. Drawn ...",http://www.vatican.va/content/leo-xiv/en/speeches/2025/december/documents/20251222-curia-romana.html
2025-12-22,Tesla and Oracle among market cap stock movers on ...,Media_Reaction,Tesla and Oracle among market cap stock movers on Monday ; Micron Tech (MU) +3.10% ; IONQ) +12.46%; Vector Acquisition (RKLB) +8.98%; Kratos Defense & (KTOS) + ...,https://au.investing.com/news/stock-market-news/tesla-and-oracle-among-market-cap-stock-movers-on-monday-93CH-4181839
2025-12-22,A Full List of 2026 US Federal Holidays and Dates,Holiday,"Federal Holidays in 2026 ; New Year's Day — Thursday, Jan. 1 ; Martin Luther King Jr.'s Birthday — Monday, Jan. 19 ; Washington's Birthday (Presidents' Day) — ...",https://www.today.com/life/holidays/federal-holidays-rcna208267
2025-12-23,Official Bank Holidays | CBB,Holiday,"Official Bank Holidays ; 1 January 2026, New Year's Day ; 20 March 2026 21 March 2026 22 March 2026, Eid Al Fitr * 1447 ; 1 May 2026, Labour Day ; 27 May 2026 28 ...",https://www.cbb.gov.bh/official-bank-holidays/
2025-12-23,How Did DOGE Disrupt So Much While Saving So Little?,Political_Event,"At the time, in the early months of 2025, DOGE listed real cuts alongside fake ones, and made it hard to tell the difference. That raised the question of ...",https://www.nytimes.com/2025/12/23/us/politics/doge-musk-trump-analysis.html
2025-12-23,Pope Leo XIV's first “Christmas of Peace”,Holiday,"On the first day of 2026, Solemnity of Mary Mother of God, the Pope will celebrate Mass at 10:00 a.m in St. Peter's Basilica for the 59th World Day of Peace. At ...",https://www.vaticannews.va/en/pope/news/2025-12/pope-leo-xiv-christmas-events-mass-liturgies-peace-greetings.html
2025-12-23,Justice Department releases more Epstein files and some ...,Political_Event,"Justice Department releases more Epstein files and some mention Trump. Updated December 23, 20254:41 PM ET Originally published December 23, 202512:31 PM ET.",https://www.npr.org/2025/12/23/nx-s1-5653302/more-epstein-files-released-trump-mentioned
2025-12-23,Some Epstein file redactions are being undone with hacks,Political_Event,It was unclear how property material complies with the redaction standard under the law. An inquiry to the Department of Justice has not yet been answered.,https://www.theguardian.com/us-news/2025/dec/23/epstein-unredacted-files-social-media
2025-12-23,Cuts and Consolidation: Trump's Federal Reset in 2025,Political_Event,A whistleblower report found that DOGE overhauled the Social Security Administration's (SSA) IT systems.,https://meritalk.com/articles/cuts-and-consolidation-trumps-federal-reset-in-2025/
2025-12-23,Got $5000? 3 Tech Stocks to Buy and Hold for the Long Term,Media_Reaction,Much of Oracle's recent growth has been driven by the expansion of the AI market. ... January 2026 $395 calls on Microsoft and short January 2026 $405 calls on ...,https://finance.yahoo.com/news/got-5-000-3-tech-145500696.html
2025-12-23,Latest Epstein document release includes multiple Trump ...,Political_Event,"WATCH: Justice Department's heavily redacted Epstein file release draws criticism from lawmakers ... Department of Justice in Washington, D.C., on Dec. 23, 2025 ...",https://www.pbs.org/newshour/nation/latest-epstein-document-release-includes-multiple-trump-mentions
2025-12-23,The Epstein Files Transparency Act required the DOJ ...,Political_Event,"The Epstein Files Transparency Act required the DOJ to publish ALL records, documents, communications, and investigative material in its possession, while ...",https://www.facebook.com/RepScottPeters/posts/the-epstein-files-transparency-act-required-the-doj-to-publish-all-records-docum/1407462304099762/
2025-12-23,Printable December 2026 Calendar,Holiday,"In December 2026, these holidays include: the first day of winter (Monday, December 21, 2026), Christmas Eve (Thursday, December 24, 2026), Christmas Day ( ...",https://grabcalendar.com/printable-december-calendar.html
2025-12-24,THE FESTIVUS REPORT 2025,Media_Reaction,"From a $20 billion bailout for Argentina to continued funding for global health programs through waivers, Washington found new ways to keep the cash flowing.",https://www.hsgac.senate.gov/wp-content/uploads/FESTIVUS-2025-FINAL.pdf
