ritual_type,year,date,verification_status,raw_verification
Christmas,2015,2015-12-25,Verified,Friday December 25 Looking for Christmas Day 2025?
Christmas,2016,2016-12-25,Verified,"Christmas is an annual festival commemorating the birth of Jesus Christ, observed primarily on December 25 as a religious and cultural celebration among billions of people around the world."
Christmas,2017,2017-12-25,Verified,Monday December 25 Looking for Christmas Day 2025?
Christmas,2018,2018-12-25,Verified,"Christmas in 2018 is on Tuesday, December 25 (fourth Tuesday of December). Check also the date of Christmas in 2026 and in the following ..."
Christmas,2019,2019-12-25,Verified,It is celebrated every year on December 25 with the exception of some Eastern churches which use the older Julian calendar.
Christmas,2020,2020-12-25,Verified,"Christmas is an annual festival commemorating the birth of Jesus Christ, observed primarily on December 25 as a religious and cultural celebration among billions of people around the world."
Christmas,2021,2021-12-25,Verified,"Most Christians celebrate on December 25 in the Gregorian calendar, which has been adopted almost universally in the civil calendars used in countries throughout the world."
Christmas,2022,2022-12-25,Verified,"Christmas Day Observances
Year
Weekday
Date
2021
Mon
Dec 27
2022
Sun
Dec 25
2022
Sun
Dec 25
2022
Sun
Dec 25"
Christmas,2023,2023-12-25,Verified,"Christmas Day (Observed), Monday, December 25, 2023 - Calendar - Montgomery County, MD."
Christmas,2024,2024-12-25,Verified,"Christmas is an annual festival commemorating the birth of Jesus Christ, observed primarily on December 25 as a religious and cultural celebration among billions of people around the world."
Christmas,2025,2025-12-25,Verified,"Christmas is an annual festival commemorating the birth of Jesus Christ, observed primarily on December 25 as a religious and cultural celebration among billions of people around the world."
Easter,2015,2015-04-05,Verified,"Sun, Apr 5, 2015"
Easter,2016,2016-03-27,Verified,"Sun, Mar 27, 2016"
Easter,2017,2017-04-16,Verified,"Easter, also called Pasch or Pascha or Resurrection Sunday, is a Christian festival and cultural holiday commemorating the resurrection of Jesus from the dead, described in the New Testament as having occurred on the third day of his burial..."
Easter,2018,2018-04-01,Verified,"Easter, also called Pasch or Pascha or Resurrection Sunday, is a Christian festival and cultural holiday commemorating the resurrection of Jesus from the dead, described in the New Testament as having occurred on the third day of his burial..."
Easter,2019,2019-04-21,Verified,"List of dates for Easter ; 2015, April 4, April 5 ; 2016, March 23, April 23 ; 2018, March 31, April 1 ; 2019, March 20, April 20 ; 2020, April 8, April 9 ..."
Easter,2020,2020-04-12,Verified,"Sun, Apr 12, 2020"
Easter,2021,2021-04-04,Verified,"Sun, Apr 4, 2021"
Easter,2022,2022-04-17,Verified,"Easter, also called Pasch or Pascha or Resurrection Sunday, is a Christian festival and cultural holiday commemorating the resurrection of Jesus from the dead, described in the New Testament as having occurred on the third day of his burial..."
Easter,2023,2023-04-09,Verified,"Easter, also called Pasch or Pascha or Resurrection Sunday, is a Christian festival and cultural holiday commemorating the resurrection of Jesus from the dead, described in the New Testament as having occurred on the third day of his burial..."
Easter,2024,2024-03-31,Verified,"Easter, also called Pasch or Pascha or Resurrection Sunday, is a Christian festival and cultural holiday commemorating the resurrection of Jesus from the dead, described in the New Testament as having occurred on the third day of his burial..."
Easter,2025,2025-04-20,Verified,"Quick Facts ; Sun, Apr 20, 2025 · Sun, Apr 5, 2026 · Sun, Mar 31, 2024 · Observance, Christian ..."
St. Patrick's Day,2015,2015-03-17,Verified,"Saint Patrick's Day, or the Feast of Saint Patrick, is a religious and cultural holiday held on 17 March, the traditional death date of Saint Patrick, the foremost patron saint of Ireland."
St. Patrick's Day,2016,2016-03-17,Verified,"Thu, Mar 17, 2016"
St. Patrick's Day,2017,2017-03-17,Verified,"Patrick's Day is celebrated on March 17 because, according to legend, it marks the death of St. Patrick, the patron saint of Ireland. St. Patrick, originally from Roman Britain, was kidnapped, enslaved, and brought to Ireland at the age of 16."
St. Patrick's Day,2018,2018-03-17,Verified,"Sat, Mar 17, 2018"
St. Patrick's Day,2019,2019-03-17,Verified,"Sun, Mar 17, 2019"
St. Patrick's Day,2020,2020-03-17,Verified,"Tue, Mar 17, 2020"
St. Patrick's Day,2021,2021-03-17,Verified,"Wed, Mar 17, 2021"
St. Patrick's Day,2022,2022-03-17,Verified,"Thu, Mar 17, 2022"
St. Patrick's Day,2023,2023-03-17,Verified,"Fri, Mar 17, 2023"
St. Patrick's Day,2024,2024-03-17,Verified,"Sun, Mar 17, 2024"
St. Patrick's Day,2025,2025-03-17,Verified,"Mon, Mar 17, 2025"
Halloween,2015,2015-10-31,Verified,"Halloween, also known as All Hallows' Eve, or All Saints' Eve, is a celebration observed in many countries on 31 October, the eve of the Western Christian feast of All Hallows' Day."
Halloween,2016,2016-10-31,Verified,"Halloween, also known as All Hallows' Eve, or All Saints' Eve, is a celebration observed in many countries on 31 October, the eve of the Western Christian feast of All Hallows' Day."
Halloween,2017,2017-10-31,Verified,"Halloween, also known as All Hallows' Eve, or All Saints' Eve, is a celebration observed in many countries on 31 October, the eve of the Western Christian feast of All Hallows' Day."
