anchor_category,query,date_found,title,link,snippet,date_parsed,data_complete,date_parsed_v2
Oracle_Tech,Oracle TikTok deal December 2025,,TikTok signs deal to sell U.S. unit to American investor group,https://www.npr.org/2025/12/18/nx-s1-5648844/tiktok-deal-oracle-trump,"TikTok signs deal to give U.S. operations to Oracle-led investor group. December 18, 20257:26 PM ET ... Trump's TikTok deal payment ...",,False,
Oracle_Tech,Oracle TikTok deal December 2025,5 days ago,TikTok has signed the deal to spin off its US entity ...,https://www.cnn.com/2025/12/18/tech/tiktok-signs-us-sale-deal,"The new entity will retrain TikTok's algorithm on US user data and Oracle will oversee storage of Americans' data, as White House officials ...",,False,2025-12-19 00:35:18.357090
Oracle_Tech,Oracle TikTok deal December 2025,,TikTok signs deal for sale of U.S. unit after yearslong saga,https://www.axios.com/2025/12/18/tiktok-sale,"TikTok has signed a deal to divest its U.S. entity to a joint venture controlled by American investors, per an internal memo seen by Axios.",,False,
Oracle_Tech,Oracle TikTok deal December 2025,,Oracle Fans Love the New TikTok Deal. But Does It Really ...,https://finance.yahoo.com/news/oracle-fans-love-tiktok-deal-191208832.html,"Purported to be a deal worth $14 billion, Oracle is expected to partner with Silver Lake and Abu Dhabi-based MGX to own TikTok U.S. through a ...",,False,
Oracle_Tech,Oracle TikTok deal December 2025,4 days ago,China's ByteDance signs deal to form joint venture in step ...,https://www.reuters.com/business/american-investor-consortium-acquire-tiktok-us-entity-axios-reports-2025-12-18/,"China's ByteDance signs deal to form joint venture in step to avoid US TikTok ban. By David Shepardson. December 19, 20257:12 PM UTCUpdated ...",,False,2025-12-20 00:35:18.357131
Oracle_Tech,Oracle TikTok deal December 2025,4 days ago,"Oracle to run TikTok's U.S. business with Silver Lake, MGX",https://www.cnbc.com/2025/12/19/oracle-stock-tiktok-us-trump-china.html,The new joint venture will prevent TikTok from shutting down in the U.S. due to national security concerns.,,False,2025-12-20 00:35:18.357145
Oracle_Tech,Oracle TikTok deal December 2025,4 days ago,"TikTok signs deal to form new US unit with investors, ...",https://apnews.com/article/tiktok-divestment-deal-trump-2fdb915cac5b6d06907a5a2de6764376,"TikTok has signed a deal to form a new U.S. unit with three American investors — Oracle, Silver Lake and MGX — holding a majority stake.",,False,2025-12-20 00:35:18.357159
Oracle_Tech,Oracle TikTok deal December 2025,,Oracle: TikTok Deal Secures Major Cash Flow but Does ...,https://global.morningstar.com/en-gb/stocks/oracle-tiktok-deal-secures-major-cash-flow-does-little-derisk-data-center-buildout,"The deal's main value is to keep TikTok as a major tenant for Oracle Cloud Infrastructure. Luke Yang, CFA 22 Dec 2025. Share. The Oracle logo is on display ...",,False,
Oracle_Tech,Oracle TikTok deal December 2025,,TikTok signs deal with Oracle consortium for US business,https://www.musicbusinessworldwide.com/bytedance-signs-deal-for-tiktok-us-joint-venture-with-oracle-consortium/,"TikTok signs deal with Oracle consortium for US business. December 22, 2025 ... Effective December 1, TikTok appointed Ziad Ojakli as head ...",,False,
Oracle_Tech,Oracle TikTok deal December 2025,5 days ago,TikTok owner signs join venture deal to avoid US ban,https://www.bbc.com/news/articles/cgexp1q8wn1o,"Under the agreement, ByteDance will retain 19.9% of the business, while Oracle, Silver Lake and Abu Dhabi-based MGX will hold 15% each. Another ...",,False,2025-12-19 00:35:18.357181
