ritual_type,ritual_date,ritual_title,anchor_category,anchor_date,anchor_title,lag_days,correlation_strength
Sanhedrin Convocation,2024-09-17,Sanhedrin Chapter Official Visit 2024 09 16,Crypto_Event,2024-09-19,ZachXBT Assists in Arrests After $243M Social Engineering ...,2,2
Sanhedrin Convocation,2024-09-17,Sanhedrin Chapter Official Visit 2024 09 16,Crypto_Event,2024-09-20,FBI arrests Singaporean man in US over $297m crypto heist,3,3
Papal Extraordinary Consistory,2024-10-06,Pope Francis announces Consistory for creation of 21 new ...,Oracle_Infrastructure,2024-10-10,Oracle puts plans for new data center in Israel on hold,4,4
Papal Extraordinary Consistory,2024-10-07,"Vatican » Consistory 2024, Pope Francis' Coup",Oracle_Infrastructure,2024-10-10,Oracle puts plans for new data center in Israel on hold,3,3
Sanhedrin Convocation,2024-12-24,Could Tuesday Be the REAL Sabbath?,Crypto_Event,2024-12-24,Stupidity at Its Finest: This Kid Stole 4064 BTC Worth $250M,0,0
Papal Extraordinary Consistory,2024-12-24,December 7 2024 Ordinary Public Consistory - Pope Francis,Crypto_Event,2024-12-24,Stupidity at Its Finest: This Kid Stole 4064 BTC Worth $250M,0,0
Sanhedrin Convocation,2024-12-24,Could Tuesday Be the REAL Sabbath?,Oracle_Infrastructure,2024-12-31,Oracle eager to build Israel's supercomputer - Globes English,6,6
Papal Extraordinary Consistory,2024-12-24,December 7 2024 Ordinary Public Consistory - Pope Francis,Oracle_Infrastructure,2024-12-31,Oracle eager to build Israel's supercomputer - Globes English,6,6
Sanhedrin Convocation,2024-12-29,Sanhedrin 13,Crypto_Event,2024-12-24,Stupidity at Its Finest: This Kid Stole 4064 BTC Worth $250M,-5,5
Sanhedrin Convocation,2024-12-29,Sanhedrin 13,Oracle_Infrastructure,2024-12-31,Oracle eager to build Israel's supercomputer - Globes English,2,2
Papal Extraordinary Consistory,2025-03-07,What is the consistory convened by Pope Francis?,Israel_Defense,2025-03-13,"Israel Aerospace sales, profit jump in 2024 during war",6,6
Papal Extraordinary Consistory,2025-03-07,What is the consistory convened by Pope Francis?,Israel_Defense,2025-03-17,Israel Aerospace Industries (IAI) reports record profits and ...,10,10
Grand Mufti Al-Aqsa Declaration,2025-04-21,Grand Mufti warns of grave consequences following AI ...,Crypto_Event,2025-04-24,They Stole a Quarter-Billion in Crypto and Got Caught ...,3,3
Sanhedrin Convocation,2025-05-28,What Was the Sanhedrin? - 1 May 2025,Crypto_Event,2025-05-16,Feds charge 12 more suspects in RICO case over crypto ...,-13,13
Grand Mufti Al-Aqsa Declaration,2025-06-18,Grand Mufti says Israel uses war to tighten control over Al ...,Crypto_Event,2025-06-21,Teen in $245M Bitcoin heist loses bond after new $2 ...,3,3
Red Heifer Ceremony,2025-07-01,Known Event,Crypto_Event,2025-06-21,Teen in $245M Bitcoin heist loses bond after new $2 ...,-10,10
Red Heifer Ceremony,2025-07-01,Known Event,Oracle_Infrastructure,2025-07-15,"Oracle CEO: ""Some of the best people in the world are ...",14,14
Grand Mufti Al-Aqsa Declaration,2025-08-06,Israeli authorities extend Al-Aqsa ban on Jerusalem's ...,Palantir_Defense,2025-07-31,"Contracts For Aug. 1, 2025",-6,6
Grand Mufti Al-Aqsa Declaration,2025-08-06,Israeli occupation barred Jerusalem's mufti from Al-Aqsa ...,Palantir_Defense,2025-07-31,"Contracts For Aug. 1, 2025",-6,6
Grand Mufti Al-Aqsa Declaration,2025-08-06,Israeli authorities extend Al-Aqsa ban on Jerusalem's ...,Palantir_Defense,2025-08-01,US Army inks $10B Enterprise Agreement with Palantir,-5,5
Grand Mufti Al-Aqsa Declaration,2025-08-06,Israeli occupation barred Jerusalem's mufti from Al-Aqsa ...,Palantir_Defense,2025-08-01,US Army inks $10B Enterprise Agreement with Palantir,-5,5
Grand Mufti Al-Aqsa Declaration,2025-08-06,Israeli authorities extend Al-Aqsa ban on Jerusalem's ...,Oracle_Infrastructure,2025-08-07,Oracle Helps Customers Achieve Extreme Availability and ...,1,1
Grand Mufti Al-Aqsa Declaration,2025-08-06,Israeli occupation barred Jerusalem's mufti from Al-Aqsa ...,Oracle_Infrastructure,2025-08-07,Oracle Helps Customers Achieve Extreme Availability and ...,1,1
Grand Mufti Al-Aqsa Declaration,2025-08-07,The MWL Condemns the Occupation Government's ...,Palantir_Defense,2025-07-31,"Contracts For Aug. 1, 2025",-7,7
Grand Mufti Al-Aqsa Declaration,2025-08-07,Israel bans grand mufti of Jerusalem from Al-Aqsa Mosque ...,Palantir_Defense,2025-07-31,"Contracts For Aug. 1, 2025",-7,7
Grand Mufti Al-Aqsa Declaration,2025-08-07,The MWL Condemns the Occupation Government's ...,Palantir_Defense,2025-08-01,US Army inks $10B Enterprise Agreement with Palantir,-6,6
Grand Mufti Al-Aqsa Declaration,2025-08-07,Israel bans grand mufti of Jerusalem from Al-Aqsa Mosque ...,Palantir_Defense,2025-08-01,US Army inks $10B Enterprise Agreement with Palantir,-6,6
Grand Mufti Al-Aqsa Declaration,2025-08-07,The MWL Condemns the Occupation Government's ...,Oracle_Infrastructure,2025-08-07,Oracle Helps Customers Achieve Extreme Availability and ...,0,0
Grand Mufti Al-Aqsa Declaration,2025-08-07,Israel bans grand mufti of Jerusalem from Al-Aqsa Mosque ...,Oracle_Infrastructure,2025-08-07,Oracle Helps Customers Achieve Extreme Availability and ...,0,0
Papal Extraordinary Consistory,2025-11-18,Pope expected to summon cardinals for 'extraordinary ...,Israel_Defense,2025-11-20,Israel MOD signs multi-billion dollar contract with Rafael to ...,2,2
Evangelical Temple Delegation,2025-11-27,"Unprecedented US Christian mission brings faith, prayer ...",Israel_Defense,2025-11-20,Israel MOD signs multi-billion dollar contract with Rafael to ...,-7,7
Evangelical Temple Delegation,2025-11-27,"Unprecedented US Christian mission brings faith, prayer ...",Crypto_Event,2025-12-04,'Crypto Godfather' Faces New Charges in Kidnapping Case,7,7
Evangelical Temple Delegation,2025-11-27,"Unprecedented US Christian mission brings faith, prayer ...",Crypto_Event,2025-12-05,"Dubai Crypto Raid Nets $18.6M, Ties to Genesis Heist ...",8,8
Evangelical Temple Delegation,2025-11-27,"Unprecedented US Christian mission brings faith, prayer ...",US_AI_Policy,2025-12-11,Ensuring a National Policy Framework for Artificial ...,14,14
